"locationid","StartStation_Name","borough","zone"
559,"Abbotsbury Road, Holland Park"," Holland Park","Abbotsbury Road"
560,"Ladbroke Grove Central, Ladbroke Grove"," Ladbroke Grove","Ladbroke Grove Central"
561,"Rectory Square, Stepney"," Stepney","Rectory Square"
562,"Bury Place, Holborn"," Holborn","Bury Place"
563,"Preston's Road, Cubitt Town"," Cubitt Town","Preston's Road"
564,"Somerset House, Strand"," Strand","Somerset House"
565,"Selby Street, Whitechapel"," Whitechapel","Selby Street"
566,"Westfield Ariel Way, White City"," White City","Westfield Ariel Way"
568,"Bishop's Bridge Road West, Bayswater"," Bayswater","Bishop's Bridge Road West"
569,"Pitfield Street Central, Hoxton"," Hoxton","Pitfield Street Central"
570,"Upper Bank Street, Canary Wharf"," Canary Wharf","Upper Bank Street"
571,"Westfield Southern Terrace ,Shepherd's Bush","Shepherd's Bush","Westfield Southern Terrace "
572,"Greenland Road, Camden Town"," Camden Town","Greenland Road"
573,"Limerston Street, West Chelsea"," West Chelsea","Limerston Street"
574,"Eagle Wharf Road, Hoxton"," Hoxton","Eagle Wharf Road"
576,"Alpha Grove, Millwall"," Millwall","Alpha Grove"
577,"Globe Town Market, Bethnal Green"," Bethnal Green","Globe Town Market"
578,"Hollybush Gardens, Bethnal Green"," Bethnal Green","Hollybush Gardens"
579,"Queen Street 2, Bank"," Bank","Queen Street 2"
580,"Doddington Grove, Kennington"," Kennington","Doddington Grove"
581,"New Cavendish Street, Marylebone"," Marylebone","New Cavendish Street"
583,"Abingdon Green, Westminster"," Westminster","Abingdon Green"
584,"Ilchester Gardens, Bayswater"," Bayswater","Ilchester Gardens"
586,"Mudchute DLR, Cubitt Town"," Cubitt Town","Mudchute DLR"
587,"Monument Street, Monument"," Monument","Monument Street"
588,"Hoxton Street, Hoxton"," Hoxton","Hoxton Street"
589,"Drayton Gardens, West Chelsea"," West Chelsea","Drayton Gardens"
590,"Greenberry Street, St.John's Wood"," St.John's Wood","Greenberry Street"
592,"Bishop's Bridge Road East, Bayswater"," Bayswater","Bishop's Bridge Road East"
593,"Northdown Street, King's Cross"," King's Cross","Northdown Street"
594,"Kingsway Southbound, Strand"," Strand","Kingsway Southbound"
595,"Hammersmith Road, Hammersmith"," Hammersmith","Hammersmith Road"
596,"Parson's Green , Parson's Green"," Parson's Green","Parson's Green "
597,"Fulham Park Road, Fulham"," Fulham","Fulham Park Road"
598,"Southerton Road, Hammersmith"," Hammersmith","Southerton Road"
599,"Manbre Road, Hammersmith"," Hammersmith","Manbre Road"
600,"South Lambeth Road, Vauxhall"," Vauxhall","South Lambeth Road"
601,"BBC White City, White City"," White City","BBC White City"
602,"Union Grove, Wandsworth Road"," Wandsworth Road","Union Grove"
603,"Caldwell Street, Stockwell"," Stockwell","Caldwell Street"
604,"St Martins Close, Camden Town"," Camden Town","St Martins Close"
605,"Seymour Place, Marylebone"," Marylebone","Seymour Place"
606,"Addison Road, Holland Park"," Holland Park","Addison Road"
607,"Putney Bridge Station, Fulham"," Fulham","Putney Bridge Station"
608,"Colet Gardens, Hammersmith"," Hammersmith","Colet Gardens"
609,"Sugden Road, Clapham"," Clapham","Sugden Road"
610,"Danvers Street, West Chelsea"," West Chelsea","Danvers Street"
611,"Princedale Road , Holland Park"," Holland Park","Princedale Road "
612,"Wandsworth Rd, Isley Court, Wandsworth Road"," Isley Court","Wandsworth Rd"
613,"Woodstock Grove, Shepherd's Bush"," Shepherd's Bush","Woodstock Grove"
614,"Bradmead, Battersea Park"," Battersea Park","Bradmead"
614,"London Fields, Hackney Central"," Hackney Central","London Fields"
615,"Finlay Street, Fulham"," Fulham","Finlay Street"
616,"Aintree Street, Fulham"," Fulham","Aintree Street"
617,"Elysium Place, Fulham"," Fulham","Elysium Place"
618,"Eel Brook Common, Walham Green"," Walham Green","Eel Brook Common"
619,"Irene Road, Parsons Green"," Parsons Green","Irene Road"
620,"Surrey Lane, Battersea"," Battersea","Surrey Lane"
621,"Wandsworth Town Station, Wandsworth"," Wandsworth","Wandsworth Town Station"
622,"Lansdowne Road, Ladbroke Grove"," Ladbroke Grove","Lansdowne Road"
623,"Nantes Close, Wandsworth"," Wandsworth","Nantes Close"
624,"Courland Grove, Wandsworth Road"," Wandsworth Road","Courland Grove"
625,"Queen's Circus, Battersea Park"," Battersea Park","Queen's Circus"
626,"Normand Park, West Kensington"," West Kensington","Normand Park"
627,"Holden Street, Battersea"," Battersea","Holden Street"
628,"William Morris Way, Sands End"," Sands End","William Morris Way"
629,"Morie Street, Wandsworth"," Wandsworth","Morie Street"
630,"Clarence Walk, Stockwell"," Stockwell","Clarence Walk"
631,"Battersea Park Road, Nine Elms"," Nine Elms","Battersea Park Road"
632,"Sheepcote Lane, Battersea"," Battersea","Sheepcote Lane"
633,"Vereker Road, West Kensington"," West Kensington","Vereker Road"
634,"Brook Green South, Brook Green"," Brook Green","Brook Green South"
635,"Greyhound Road, Hammersmith"," Hammersmith","Greyhound Road"
636,"South Park, Sands End"," Sands End","South Park"
637,"Spencer Park, Wandsworth Common"," Wandsworth Common","Spencer Park"
638,"Falcon Road, Clapham Junction"," Clapham Junction","Falcon Road"
639,"Coomer Place, West Kensington"," West Kensington","Coomer Place"
640,"Silverthorne Road, Battersea"," Battersea","Silverthorne Road"
641,"Archbishop's Park, Waterloo"," Waterloo","Archbishop's Park"
642,"Fawcett Close, Battersea"," Battersea","Fawcett Close"
643,"All Saints' Road, Portobello"," Portobello","All Saints' Road"
644,"Rainville Road, Hammersmith"," Hammersmith","Rainville Road"
645,"Great Suffolk Street, The Borough"," The Borough","Great Suffolk Street"
646,"Buckingham Gate, Westminster"," Westminster","Buckingham Gate"
647,"Richmond Way, Shepherd's Bush"," Shepherd's Bush","Richmond Way"
648,"Peterborough Road, Sands End"," Sands End","Peterborough Road"
649,"World's End Place, West Chelsea"," West Chelsea","World's End Place"
650,"St. Mark's Road, North Kensington"," North Kensington","St. Mark's Road"
651,"Thorndike Close, West Chelsea"," West Chelsea","Thorndike Close"
652,"Evesham Street, Avondale"," Avondale","Evesham Street"
653,"Simpson Street, Clapham Junction"," Clapham Junction","Simpson Street"
654,"Ashmole Estate, Oval"," Oval","Ashmole Estate"
655,"Crabtree Lane, Fulham"," Fulham","Crabtree Lane"
656,"Broomhouse Lane, Parsons Green"," Parsons Green","Broomhouse Lane"
657,"Blythe Road West, Shepherd's Bush"," Shepherd's Bush","Blythe Road West"
658,"Ethelburga Estate, Battersea Park"," Battersea Park","Ethelburga Estate"
659,"Blackfriars Station, St. Paul's"," St. Paul's","Blackfriars Station"
660,"West Kensington Station, West Kensington"," West Kensington","West Kensington Station"
661,"All Saints Church, Portobello"," Portobello","All Saints Church"
662,"Phene Street, Chelsea"," Chelsea","Phene Street"
663,"Clarendon Road, Avondale"," Avondale","Clarendon Road"
664,"Austin Road, Battersea Park"," Battersea Park","Austin Road"
665,"Smugglers Way, Wandsworth"," Wandsworth","Smugglers Way"
667,"Shepherd's Bush Road North, Shepherd's Bush"," Shepherd's Bush","Shepherd's Bush Road North"
668,"Ravenscourt Park Station, Hammersmith"," Hammersmith","Ravenscourt Park Station"
669,"Teversham Lane, Stockwell"," Stockwell","Teversham Lane"
670,"Ashley Crescent, Battersea"," Battersea","Ashley Crescent"
671,"Parsons Green Station, Parsons Green"," Parsons Green","Parsons Green Station"
673,"Hibbert Street, Battersea"," Battersea","Hibbert Street"
674,"Carnegie Street, King's Cross"," King's Cross","Carnegie Street"
675,"Usk Road, Clapham Junction"," Clapham Junction","Usk Road"
676,"Hartington Road, Stockwell"," Stockwell","Hartington Road"
677,"Heath Road, Battersea"," Battersea","Heath Road"
678,"Esmond Street, Putney"," Putney","Esmond Street"
679,"Orbel Street, Battersea"," Battersea","Orbel Street"
680,"Westbridge Road, Battersea"," Battersea","Westbridge Road"
681,"Bishop's Avenue, Fulham"," Fulham","Bishop's Avenue"
682,"Crisp Road, Hammersmith"," Hammersmith","Crisp Road"
683,"Dorothy Road, Clapham Junction"," Clapham Junction","Dorothy Road"
684,"Neville Gill Close, Wandsworth"," Wandsworth","Neville Gill Close"
685,"Osiers Road, Wandsworth"," Wandsworth","Osiers Road"
686,"Beryl Road, Hammersmith"," Hammersmith","Beryl Road"
687,"Maclise Road, Olympia"," Olympia","Maclise Road"
688,"Northfields, Wandsworth"," Wandsworth","Northfields"
689,"Spanish Road, Clapham Junction"," Clapham Junction","Spanish Road"
690,"Stanley Grove, Battersea"," Battersea","Stanley Grove"
691,"Erin Close, Walham Green"," Walham Green","Erin Close"
692,"Cadogan Close, Victoria Park"," Victoria Park","Cadogan Close"
693,"Felsham Road, Putney"," Putney","Felsham Road"
694,"Putney Rail Station, Putney"," Putney","Putney Rail Station"
695,"Islington Green, Angel"," Angel","Islington Green"
696,"Charing Cross Hospital, Hammersmith"," Hammersmith","Charing Cross Hospital"
697,"Charlotte Terrace, Angel"," Angel","Charlotte Terrace"
698,"Shoreditch Court, Haggerston"," Haggerston","Shoreditch Court"
699,"Belford House, Haggerston"," Haggerston","Belford House"
700,"Battersea Church Road, Battersea"," Battersea","Battersea Church Road"
701,"Vicarage Crescent, Battersea"," Battersea","Vicarage Crescent"
702,"Durant Street, Bethnal Green"," Bethnal Green","Durant Street"
703,"St. Bride Street, Holborn"," Holborn","St. Bride Street"
704,"Mexfield Road, East Putney"," East Putney","Mexfield Road"
705,"Upper Richmond Road, Putney"," Putney","Upper Richmond Road"
706,"Snowsfields, London Bridge"," London Bridge","Snowsfields"
707,"Barons Court Station, West Kensington"," West Kensington","Barons Court Station"
708,"Disraeli Road, Putney"," Putney","Disraeli Road"
709,"Montserrat Road , Putney"," Putney","Montserrat Road "
